,Description,commenting,ogling,groping,cleaned_text
12,"One night we were returning to our house from party.I saw one boy was trying to touch one young girl.BUT the girl was so afraid and was crying.When we came near to them,the boy run suddenly.",0,0,0,one night returning house party saw one boy trying touch one young girl girl afraid cry came near boy run suddenly
13,Some people used to stare in a very inappropriate way which is not tolerable.It happened in the morning and Night.,1,0,1,people used stare inappropriate way not tolerable happened morning night
14,local college guys were commenting.,1,0,0,local college guy commenting
15,making weird noises and laughing at girls,1,0,0,making weird noise laughing girl
16,"I had gone to get ice cream and I noticed 5 men who looked drunk there, I turned around and started walking away, but they made sexual invites from afar",1,0,0,gone get ice cream noticed 5 men looked drunk turned around started walking away made sexual invite afar
17,There were comments and staring when I was going back to my p.g. During the afternoon hours .,1,1,0,comment staring going back p g afternoon hour
18,my friend was crossing the road,1,1,0,friend crossing road
19,"This incident took place on 4th September 2013 in the afternoon.In metro at rohini east station,Two boys were taking pictures of a group of girls sitting on the opposite side.",0,0,0,incident took place 4th september 2013 afternoon metro rohini east station two boy taking picture group girl sitting opposite side
20,"While i was walking on the road,two men on bike passed lewd comments.It happened near vishvavidalaya metro station in the afternoon around 3pm.",1,0,0,walking road two men bike passed lewd comment happened near vishvavidalaya metro station afternoon around 3pm
21,when i was returning home from college a boy commented on me and whistled,1,0,0,returning home college boy commented whistled
22,sexual harrasement during office hours,1,1,0,sexual harrasement office hour
23,"I was returning home from my workplace in the evening and a drunk guy was intentionally trying to fall upon me.Later,when he saw police nearby he got scared and went away.It happened near rohini west metro station.",0,0,1,returning home workplace evening drunk guy intentionally trying fall upon later saw police nearby got scared went away happened near rohini west metro station
24,harassment,1,0,0,harassment
25,Catcalls and commenting st bus stand during morning and afternoon.,1,0,0,catcall commenting st bus stand morning afternoon
26,i was walking to my home after school and while i was walking one boy just came infront of me and told me that he loves me. i didnt knew that guy so i ignored him but he was continuously following me and no body helped me,1,0,0,walking home school walking one boy came infront told love didnt knew guy ignored continuously following no body helped
27,Some guys misbehaved with us.,1,1,1,guy misbehaved u
28,teachers  beating  pupils,0,0,0,teacher beating pupil
29,The culprit was staring at a group of girls and was staring and commenting in a very cheap way . This incident happened during afternoon .,1,1,0,culprit staring group girl staring commenting cheap way incident happened afternoon
30,I am shocked why there have been no incident reported from the Pink City.Eve Teasing is so very common that it happen to girls almost every day.Well Let me share 1 such incident of my friend.We were studying in 1 of the prestigious girls college in Jaipur and were staying as a paying guest in Cscheme jaipur.Two of my friends went out to market to get something when suddenly 1 car came. I think they were 45 boys in the car.One of them tried to drag my friend in the car by groping in wrong place.Luckily the other friend saved her by shouting .It was so dreadful.She still cannt forget the incident..This is not just 1 case.. These kind of incidents keep happening there ..,1,0,1,shocked no incident reported pink city eve teasing common happen girl almost every day well let share 1 incident friend studying 1 prestigious girl college jaipur staying paying guest cscheme jaipur two friend went market get something suddenly 1 car came think 45 boy car one tried drag friend car groping wrong place luckily friend saved shouting dreadful still cannt forget incident not 1 case kind incident keep happening
31,"report was made on dadar street market, exact location was between bigg sale to maitreen shop. The participants don't feel safe at dadar street market  due to many instances of stalking",0,0,0,report made dadar street market exact location bigg sale maitreen shop participant feel safe dadar street market due many instance stalking
32,There was commenting and taking pictures during evening .,1,0,0,commenting taking picture evening
33,i saw a man forcefully taking a girl with him. i did not know what to do to help her and no one around helped her either. this happened at night in the thursday market.,0,0,1,saw man forcefully taking girl not know help no one around helped either happened night thursday market
34,Boys were commenting and shouting at me.,1,0,0,boy commenting shouting
35,he touched my breast and back,0,0,1,touched breast back
36,boy touched one girl in public bus,0,0,1,boy touched one girl public bus
37,step mother chasing a girl out of the house at night,0,0,0,step mother chasing girl house night
38,"I was heading to work when I noticed someone following me,I decided to change routes and thats when he shoouted saying am a prostitute and didnt have a golden vagina..!!!",1,0,0,heading work noticed someone following decided change route thats shoouted saying prostitute didnt golden vagina
39,"Ogling/Facial Expressions at Gurgaon, Sohna",0,1,0,ogling facial expression gurgaon sohna
40,harassment,0,1,0,harassment
41,bikers do this mostly,1,0,0,bikers mostly
42,"I was enjoying an ice cream with my family and we were having a good time,I suddenly felt someone grab my hips, at first I felt it happened accidentally but later on had to go through the torture twice,I was scared to death and felt helpless,The scoundrel was tall,Had long hair, had a dark complexion,seemed to be like a drug addict,I can recognise his face which still haunts me.....",0,0,1,enjoying ice cream family good time suddenly felt someone grab hip first felt happened accidentally later go torture twice scared death felt helpless scoundrel tall long hair dark complexion seemed like drug addict recognise face still haunt
43,in night my chain and phone was snatched,0,0,0,night chain phone snatched
44,a group of boys were standing there and starring at us. as we started moving one of them commented on my friend.,1,1,0,group boy standing starring u started moving one commented friend
45,"Sitting at desk, working, manager comes asking for some update, stares only at chest of females.Also makes indecent remark to a newly joined member regarding her saree.",1,1,0,sitting desk working manager come asking update stare chest female also make indecent remark newly joined member regarding saree
46,men see me,1,0,0,men see
47,"she was impregnated while in school, boys used to call every time and harass her",1,0,0,impregnated school boy used call every time harass
48,The guy just stood in front of a door obstructing my way and causing harassment.,0,0,0,guy stood front door obstructing way causing harassment
49,One tall boy almost regularly teases me. He comes to my gate and catcalls and sings song in an indecent manner.,1,0,0,one tall boy almost regularly tease come gate catcall sings song indecent manner
50,"a neighbour forcefully drugged a girl to his house, locked her and sexually assaulted her",0,0,0,neighbour forcefully drugged girl house locked sexually assaulted
51,Ogling and touching in the general compartment of the Dombivli train.,0,1,1,ogling touching general compartment dombivli train
52,A group of people teasing girls and mouthing bad words,1,1,0,group people teasing girl mouthing bad word
53,"A friend of mine had sexually harassed in the bus,though the seat of other bus was vacant that old guy sat near by her and keep on touching her intentionally then she didn't want to create a scene and get off from the bus though it wasn't her stop.",1,1,1,friend mine sexually harassed bus though seat bus vacant old guy sat near keep touching intentionally want create scene get bus though stop
54,The man invited me for sexual pleasure.It happened,0,0,0,man invited sexual pleasure happened
55,"I was on my way to school, an old man was coming towards me. He groped by breasts and it hurt a lot. I was very scared and I just ran to my school. I told my friends about it and they laughed at me and made fun of me. I've kept shut ever since.",0,0,1,way school old man coming towards groped breast hurt lot scared ran school told friend laughed made fun kept shut ever since
56,I was followed by a drunk man.,0,1,1,followed drunk man
57,A man came close to me when I was waiting my friend in a road. He said he would give me big money if I went with him for sex.,0,0,0,man came close waiting friend road said would give big money went sex
58,Indecent Environment in this area with lot of drunkers.,0,0,0,indecent environment area lot drunkers
59,I saw a boy going on a bike commenting on a girl.It happened in the evening.,1,0,0,saw boy going bike commenting girl happened evening
60,"people commenting, taking pictures . its daily business",1,1,0,people commenting taking picture daily business
61,some boys commented bad words to me.,1,0,0,boy commented bad word
62,mumbai central station,0,0,0,mumbai central station
63,We were walking around India gate when a guy was constantly clicking our pictures . I personally went after him and deleted the pictures . It'd happened during afternoon .,0,0,0,walking around india gate guy constantly clicking picture personally went deleted picture happened afternoon
64,An old person was touching my friend in a bus in evening when there was a lot of rush.,1,0,1,old person touching friend bus evening lot rush
65,I was walking when a man came and started telling me that nowadays I have stopped talking to him and told me to go with him to his house,0,0,0,walking man came started telling nowadays stopped talking told go house
66,i was molested at murga chowk. 2 men snatched my dupatta and started touching me inappropriately in broad daylight. its horrifying that we are not safe even during the day,0,0,1,molested murga chowk 2 men snatched dupatta started touching inappropriately broad daylight horrifying not safe even day
67,I was going to buy  kerosene and a man stopped me covered my mouth and tried to touch breasts,0,0,1,going buy kerosene man stopped covered mouth tried touch breast
68,Breast Groped,0,0,1,breast groped
69,A person on the Delhi metro was taking pictures of girls on his cell phone.,0,0,0,person delhi metro taking picture girl cell phone
70,chasing on  a bike.,0,0,1,chasing bike
71,its a ladies hostels area..many guys stands there and comments..and some shows internal parts while crossing from the area..plz some1 help to make that area free from the idiots ..some will touch while walking from the bike..so pathetic..,0,0,1,lady hostel area many guy stand comment show internal part crossing area plz some1 help make area free idiot touch walking bike pathetic
72,"While walking in evening , a guy passed me and commented quot oye hoye , Kya lag rhi hai..quot",1,0,0,walking evening guy passed commented quot oye hoye kya lag rhi hai quot
73,"During afternoon , while travelling in metro , there was lot of touching I the general compartment .",0,0,1,afternoon travelling metro lot touching general compartment
74,Staring and touching,0,0,1,staring touching
75,The incident took place in a bus when two guys were clicking pictures . It happened during afternoon .,0,0,0,incident took place bus two guy clicking picture happened afternoon
76,some guys were following and passing comments.,1,0,0,guy following passing comment
77,It happened at night,1,0,0,happened night
78,staring,0,1,0,staring
79,i was followed and commented by the a man while i was walking on the street,1,0,0,followed commented man walking street
80,nothing has happened yet but my aunt was teased by group of boys while going to college,1,0,0,nothing happened yet aunt teased group boy going college
81,Whistling and passing valgur comments,1,0,0,whistling passing valgur comment
82,showing vulgal pictures through fb mgs to one of my relatives,0,0,0,showing vulgal picture fb mg one relative
83,"Verbal sexual harassment, sexual invites,touching, etc.",0,0,1,verbal sexual harassment sexual invite touching etc
84,Touching inappropriately in metro during afternoon.,0,0,1,touching inappropriately metro afternoon
85,chain snatched by a man who is nearly 35yrs old,0,0,0,chain snatched man nearly 35yrs old
86,"during my college one of my englis teacher used to touch my hand, back and stare very badly .i dont know from where he got my number he stared calling me everyday.due to this i have to switch my phone off for several month",0,0,1,college one englis teacher used touch hand back stare badly dont know got number stared calling everyday due switch phone several month
87,boys snatched chain of a woman,0,0,0,boy snatched chain woman
88,we were coming from school and we met some boys on the way and they were calling my friend telling her irrelevant things,0,0,0,coming school met boy way calling friend telling irrelevant thing
89,A man showed me his private place while he was on a scooter and then acted as though nothing happened.,0,0,0,man showed private place scooter acted though nothing happened
90,A man touched a body part while we were playing holi.,1,0,1,man touched body part playing holi
91,Men catcall and comment while im either on my way to school or on my way back home.,1,0,0,men catcall comment im either way school way back home
92,A conductor said very bad comments to me inside a bus.,1,0,0,conductor said bad comment inside bus
93,"once I was going back to my home, there was a guy who was starring at me and kept on commenting. (busesdhaula kuan)",1,0,0,going back home guy starring kept commenting busesdhaula kuan
94,I was in the Buddh Bazaar shopping when a man  was whistling and walking by my side giving wrong expressions,0,1,0,buddh bazaar shopping man whistling walking side giving wrong expression
95,Indecent Behaviour,0,0,0,indecent behaviour
96,"In public transport , touching and groping happens all the time . Stupid personalities are present everywhere in Delhi .",0,0,1,public transport touching groping happens time stupid personality present everywhere delhi
97,A group of guys on bike were passing comments on girls.It happened in the evening.,1,0,0,group guy bike passing comment girl happened evening
98,"A friend of mine was raped. She was planned by a group of boys who she dated at once .She had a date with her boyfriend.On their way,she never knew that she had been planned by the other boys who came and took her to the field and raped her until she went unconscious",0,0,0,friend mine raped planned group boy dated date boyfriend way never knew planned boy came took field raped went unconscious
99,"this incident happened on 40 foota road, vikas nagar, phase 3. 2 men molested my friend in a street near her house.",0,0,1,incident happened 40 foota road vikas nagar phase 3 2 men molested friend street near house
100,I was at the tap when a boy came to pour water.  He found a 14 years old girl waiting  to fetch water and just grabbed her hands and dragged her away.,0,0,1,tap boy came pour water found 14 year old girl waiting fetch water grabbed hand dragged away
101,Car parks are particularly scary ... public spaces after dark or at dusk on your own are not pleasant and I would avoid them.,0,0,0,car park particularly scary public space dark dusk not pleasant would avoid
102,"a teacher used to assault me , when i told my mother about it,she asked me not to go to tuition",0,0,0,teacher used assault told mother asked not go tuition
103,There were cheap comments and whistles while I was boarding the metro in the morning .,1,1,0,cheap comment whistle boarding metro morning
104,tuition teacher used to touch in the chest and used to talk about sex and show pornographic video,1,0,1,tuition teacher used touch chest used talk sex show pornographic video
105,"Ogling, facial expressions, commenting",1,1,0,ogling facial expression commenting
106,"commenting, regular basis near the Club gym",1,1,0,commenting regular basis near club gym
107,some guys were wistling me and my friends on my way,1,0,0,guy wistling friend way
108,"When I was walking to my aunts place, I saw a group of boys they called me to come and I refused .One of them walked up to me and touched by breasts ,when I wanted to react they started insulting me.",0,0,1,walking aunt place saw group boy called come refused one walked touched breast wanted react started insulting
109,"They were in the same metro and they passed cheap comments,followed and tried to take pictures.It happened at rajiv chowk metro station in the afternoon.",1,0,0,metro passed cheap comment followed tried take picture happened rajiv chowk metro station afternoon
110,when i was going to my home that time a group of boy was bulling and taking picture of a girl. boys they girl and that time girls went to her home.,0,1,0,going home time group boy bulling taking picture girl boy girl time girl went home
111,I was physically touched in my private parts at evening time in a crowded street of newroad.,1,0,1,physically touched private part evening time crowded street newroad
112,a man felt my friend's hand with his genitals,0,0,1,man felt friend hand genitals
113,in public vehicle one boy touched my body.,0,0,1,public vehicle one boy touched body
114,called us by some local names like chinky,1,0,0,called u local name like chinky
115,Yester evening my wife was comming from vastrapur to Nandan Baugh and on the way one guy in a motorcycle was doing catcalls and commenting at 9 pm.Since the strech from BOPAL444 TO Applewood is very isolated.Request the authority's to try patrolling in that road as many ladies go to work and come home late till 9.30,1,0,0,yester evening wife comming vastrapur nandan baugh way one guy motorcycle catcall commenting 9 pm since strech bopal444 applewood isolated request authority try patrolling road many lady go work come home late till 9 30
116,A boy always harrassed me while I used to return home from college.,1,1,0,boy always harrassed used return home college
117,I was going to my home when an uncle passing by hit me from front and moved ahead.,0,0,1,going home uncle passing hit front moved ahead
118,i am a girl and was going to school.It was sunday and some of the boys commented while passing.That was very depressing for me and I went to home after than rather than going to school,1,0,0,girl going school sunday boy commented passing depressing went home rather going school
119,I mate some two men on my way home from school and they told me that they feel like having sex with me.,1,0,0,mate two men way home school told feel like sex
120,Staking and indecent messages to a friend who is  from north east,1,0,0,staking indecent message friend north east
121,"From the bus stop where I would board my bus, three cars would pass by one after the other and sometimes even follow me to school.",0,0,0,bus stop would board bus three car would pas one sometimes even follow school
122,"LOL, IT HAPPENS EVERYDAY HERE! NOW WE ARE ACTUALLY USED TO IT",1,1,1,lol happens everyday actually used
123,More like eveteasing. Nothing to a very great extent but two guys tried to follow me on my way back home and behaved indecently.,1,1,0,like eveteasing nothing great extent two guy tried follow way back home behaved indecently
124,"I was pinched on my a when I was returning from college, on the bus 29C, and only because I had two stops, because I was told so, not exactly in those words, in English. I could have slapped him, but both my hands were full and my bag was on my back. Also, the 29C is also pretty crowded in the evening so I didn't have enough space to do anything. I wish this was stopped.",0,0,0,pinched returning college bus 29c two stop told not exactly word english could slapped hand full bag back also 29c also pretty crowded evening enough space anything wish stopped
125,WHILE COMING FROM CLASSES I SAW A GROUP OF BOYS WERE TEASING A GIRL.,1,0,0,coming class saw group boy teasing girl
126,a group of girls of us were travelling in a public vehicle the conductor of the vehicle teases us.,1,0,0,group girl u travelling public vehicle conductor vehicle tease u
127,I was walking on the road and a bike came behind me and they pulled my hand while they were driving. It was a full road,0,0,1,walking road bike came behind pulled hand driving full road
128,Touching in DTC bus at Gagan vihar in the afternoon on 24th August 2012,0,0,1,touching dtc bus gagan vihar afternoon 24th august 2012
129,once i was in grant road station where i was intentionally groped by the elbow by a man who kept oggling till i took the local train.,0,1,1,grant road station intentionally groped elbow man kept oggling till took local train
130,commenting and boys taking our pictures,1,0,0,commenting boy taking picture
131,this guy was whistlig and commenting,1,0,0,guy whistlig commenting
132,"Commenting,ogling and catcalls in Local market in areas with quotwine and beer shopsquot specifically in back area of Netaji Subhash palace complex,bylanes etc.",1,1,0,commenting ogling catcall local market area quotwine beer shopsquot specifically back area netaji subhash palace complex bylanes etc
133,"street harassmenta month ago when I was coming back to buea at the bus station a guy suddenly snacthed my travelling box from me and when I asked him to return my box he started insulting me but for me I did not stop as I gave him what he wanted,insult him also.",0,1,0,street harassmenta month ago coming back buea bus station guy suddenly snacthed travelling box asked return box started insulting not stop gave wanted insult also
134,in night i witnessed it more than2 3 times,1,0,0,night witnessed than2 3 time
135,"my college friend commented on my short dress in the canteen, said it is instigating him to do bad things to me",1,0,0,college friend commented short dress canteen said instigating bad thing
136,Three guys were commenting on a girl's dressing style.,1,0,0,three guy commenting girl dressing style
137,Harassed in the afternoon,1,0,0,harassed afternoon
138,"two girls were ogled at,at Chandivali Junction",0,1,0,two girl ogled chandivali junction
139,harassment,0,0,0,harassment
140,guys were whistling,1,1,0,guy whistling
141,Roadside boys hooting and commenting,1,1,0,roadside boy hooting commenting
142,I saome women being followed by men at night,0,0,0,saome woman followed men night
143,Passerby's passed leud comments.Evening time.,1,0,0,passerby passed leud comment evening time
144,"every day this bridge is too crowded,cannot walk properly on office times in morning and daily some men or the other take advantage by touching women. not a single police personnel is there to look what is happening? its continuously happening there, sometime there lights don't work on the bridge its too difficult to walk in dark on this bridge.",0,0,1,every day bridge crowded cannot walk properly office time morning daily men take advantage touching woman not single police personnel look happening continuously happening sometime light work bridge difficult walk dark bridge
145,"Harassment by boys who comment, take pictures and whistle",1,0,0,harassment boy comment take picture whistle
146,"The place is sector 16 of Vashi, Navi Mumbai. It was 10.30 PM, as I got down at the sector 16 bus stop from BEST 525 bus and started walking towards home. The footpath is shady without street lights, so I decided to walk along the road. As I was walking, someone loudly screamed from the footpath ... quotae idhar idhar dekhquot. I involuntarily turned in that direction to see a guy (a labourer) masturbating himself and smiling at me as he did so! I was shocked but I didn't wait around. I just turned my back on him and walked away briskly to the spot where there are lights and where there was crowd. He kept following me for sometime but after he found out that I was headed in a direction where there were many people, he turned around and went his way.I was shaken as I reached home. All I felt was fear. But now that I'm reflecting on it, it feels I should have punched him for good. However, running away was all I could think of at that moment!",1,0,0,place sector 16 vashi navi mumbai 10 30 pm got sector 16 bus stop best 525 bus started walking towards home footpath shady without street light decided walk along road walking someone loudly screamed footpath quotae idhar idhar dekhquot involuntarily turned direction see guy labourer masturbating smiling shocked wait around turned back walked away briskly spot light crowd kept following sometime found headed direction many people turned around went way shaken reached home felt fear reflecting feel punched good however running away could think moment
147,I was with my friends  and suddenly some guys started whistling and we went hurriedly.It happened in the evening.,0,0,0,friend suddenly guy started whistling went hurriedly happened evening
148,a girl was being called by some boys and winking at her,0,0,0,girl called boy winking
149,she was on her way to town when she realised that her neighbour had followed her from kibera to her place of work.,0,0,0,way town realised neighbour followed kibera place work
150,Stalking and commenting by a group of men,1,0,0,stalking commenting group men
151,i was walking towards my house while this guy started commenting,1,0,0,walking towards house guy started commenting
152,I was stared at by a man as I was waiting for an Ola Cab outside Gate 4 of the Metro station. His stare lingered and made me thoroughly uncomfortable.,0,1,0,stared man waiting ola cab outside gate 4 metro station stare lingered made thoroughly uncomfortable
153,"There were 78 people who were following, whistling and asking for my number.",1,0,0,78 people following whistling asking number
154,"while travelling in the bus, there was a person standing behind me and was fully on me. He was touching my body parts and when I pointed it out to him, he said the bus is crowded and thats why it happened, but I could feel it that it was not because of the rush",0,0,1,travelling bus person standing behind fully touching body part pointed said bus crowded thats happened could feel not rush
155,Commenting  Rangpuri in evening,1,0,0,commenting rangpuri evening
156,A woman was harassed in Mutengene by thieves( dealers) and money was taken from her,0,1,0,woman harassed mutengene thief dealer money taken
157,"I was on my to church when amn started calling me sweetie, baby. I was in great fear because he was approaching me",1,0,0,church amn started calling sweetie baby great fear approaching
158,I was in a public space when i saw a man doing offensive actions.,0,0,0,public space saw man offensive action
159,there is a day I was walking with my friend and then one of the boys from the street shouted at her saying that she is his size,1,0,0,day walking friend one boy street shouted saying size
160,"Om Sai Beach Huts is not safe for female solo travellers. While the owner, Gaurav Bhagat, was drunk he told me that he and the staff were watching me to see if I was sleeping with my friend. (who was there and staying in a seperate room)  And that he called them to check what we were doing, and that the ENTIRE STAFF was giving him information about my activities and whereabouts. What bothers me most is NOT that he hit on me eventually  but that he and your staff were watching me and they were reporting to you what I was doing. That does not make me feel safe, in fact, because of this I have many doubts about the overall safety of the place. The hut and bathroom had holes in the walls where someone could see inside. I overlooked them, but now I doubt that someone was watching me while I slept and changed clothes and other things which require privacy. I cannot recommend this place to anyone knowing what he told me.",1,1,0,om sai beach hut not safe female solo traveller owner gaurav bhagat drunk told staff watching see sleeping friend staying seperate room called check entire staff giving information activity whereabouts bother not hit eventually staff watching reporting not make feel safe fact many doubt overall safety place hut bathroom hole wall someone could see inside overlooked doubt someone watching slept changed clothes thing require privacy cannot recommend place anyone knowing told
161,"three boys normally sit at a spot called quotbiasharaquot and wait for me to pass so that they can comment on my dressing,one day they whistled at me and I ignored.they insulted me",1,0,0,three boy normally sit spot called quotbiasharaquot wait pas comment dressing one day whistled ignored insulted
162,"Poor lighting when walking up Channing to turn on Warring, catcalling as well.",0,0,0,poor lighting walking channing turn warring catcalling well
163,NO street light,0,0,0,no street light
164,This incident took place in September 2012 during morning around 1011am.A girl who was driving a twowheeler.Two boys hit her Activa scooty softly and then touched her back and swepting clothes.,0,1,1,incident took place september 2012 morning around 1011am girl driving twowheeler two boy hit activa scooty softly touched back swepting clothes
165,I was travelling in a bus on delhi merut highway (NH 58). I was siting somewhere middle in the bus row.Position was the second column in 2 seater side. A girl age around 16 was siting next to the gap of walking.  Something similar to our positions.A guy age 2425 walk by the the passage and stood between us filling the passage gap.He faced towards the girl having back portion towards me.His lower part and the face level of the girl were approx the same level because hi was standing and the girl was siting. He pushed himself towards the girl using the bus movements many times.The girl was siting with her face down and eyes closed. she was terrified.I  left my seat so that i could give place to that person who was standing and can indirectly help the girl so i walked to a little distance and stood there. but even tough the seat was vacant the man did not took that seat. It was really shameful. I wish i could have done some more help to that girl.,0,0,1,travelling bus delhi merut highway nh 58 siting somewhere middle bus row position second column 2 seater side girl age around 16 siting next gap walking something similar position guy age 2425 walk passage stood u filling passage gap faced towards girl back portion towards lower part face level girl approx level hi standing girl siting pushed towards girl using bus movement many time girl siting face eye closed terrified left seat could give place person standing indirectly help girl walked little distance stood even tough seat vacant man not took seat really shameful wish could done help girl
166,I was touched/groped,0,0,1,touched groped
167,When I was traveling in the bus some teen aged boy whistled at me as well as commented nonsense.,1,0,0,traveling bus teen aged boy whistled well commented nonsense
168,One day while I was travelling in a bus a girl was sitting near me and behind her 23 boys were standing and passing cheap comments. The girl knowingly ignored them just because she needed to travel daily.,1,0,0,one day travelling bus girl sitting near behind 23 boy standing passing cheap comment girl knowingly ignored needed travel daily
169,in evening i was with my friend circle and a group of guys there stunt commenting on girls present in circle.,1,1,0,evening friend circle group guy stunt commenting girl present circle
170,"I was in metro during evening hours , and some guy was trying to touch me again and again .",0,0,1,metro evening hour guy trying touch
171,ABUSING AND ASKING TO DIE,0,0,0,abusing asking die
172,Her mother was sick and she had no money to buy medicine.  She decided to start washing clothes to get money. A man asked her to wash for him clothes while washing the man came and touched her buttocks.,0,0,1,mother sick no money buy medicine decided start washing clothes get money man asked wash clothes washing man came touched buttock
173,"around 345pm ,i was in bus no. 448 and one guy suddenly grabbed my phone and ran away.",0,0,0,around 345pm bus no 448 one guy suddenly grabbed phone ran away
174,a man touch a girl on the bus,0,0,1,man touch girl bus
175,"we were 3 people including my sister . to reach the destination ,we decided to take the yellow line metro from civil lines. few boys were sitting there and after seeing my sister started whisting and singing cheap songs",0,1,0,3 people including sister reach destination decided take yellow line metro civil line boy sitting seeing sister started whisting singing cheap song
176,No Light,0,0,0,no light
177,This has been reported by my friend's mother. She witnessed rowdy bikers making an attempt at snatching a woman's jewelry as she was taking her routine walk. The woman raised alarm and a few men came to her rescue. They tried to chase the bikers but they were out of sight right after. The woman was traumatized as she has been residing there for over a decade and had nowhere expected this. She will reporting this matter to the police.,0,0,0,reported friend mother witnessed rowdy bikers making attempt snatching woman jewelry taking routine walk woman raised alarm men came rescue tried chase bikers sight right woman traumatized residing decade nowhere expected reporting matter police
178,This incident took place three months ago during the night at rooster pub.A man in his late 40's in Indian  clothes sat in the corner and ogling at the girls who were there.He was passing lewd looks and comments to his minors.,0,1,1,incident took place three month ago night rooster pub man late 40 indian clothes sat corner ogling girl passing lewd look comment minor
179,There was continuous commenting and whistling outside university stadium in north campus . It happened in afternoon around 2 pm .,1,0,0,continuous commenting whistling outside university stadium north campus happened afternoon around 2 pm
180,misbehaved,1,0,0,misbehaved
181,"I was on the bus, there were group of boys and they started commenting me that you look pretty. I ignored it but they started to tease me by asking my number.",1,0,0,bus group boy started commenting look pretty ignored started tease asking number
182,I boarded a matatu from makina to olympic with a yoiung lady dressed in a mini skirt. The tout together with other gys hanging at the door started talking about her describing how well she is made,1,0,0,boarded matatu makina olympic yoiung lady dressed mini skirt tout together gy hanging door started talking describing well made
183,Catcalls and indecent exposure,0,0,0,catcall indecent exposure
184,"During night around 8pm , a guy asked me out for going to his place .",0,0,0,night around 8pm guy asked going place
185,"It was a fateful evening when I went to visit a friend of mine and we began discussing together .After that he began going to another level of discussion in which he started telling me how he has always wanted me to be more than a friend to him.I began asking what he meant .He replied that he wanted me to be his girl friend and immediately he wanted sex at that moment and i was refusing while he was insisting .Thanks to God , a friend of his came to his house and i was saved from that",0,1,0,fateful evening went visit friend mine began discussing together began going another level discussion started telling always wanted friend began asking meant replied wanted girl friend immediately wanted sex moment refusing insisting thanks god friend came house saved
186,a man followed me from the wednesday market to where i was going. i tried to mislead him so that he does not figure out my home address. i had spotted him in the market,0,0,0,man followed wednesday market going tried mislead not figure home address spotted market
187,passerby touch us and cars even follow us.,1,0,1,passerby touch u car even follow u
188,people are scared of chain snatching .I have witness bikers entered in residential area and snatching chain and purses from wom en .Incidents of eve taesing are also increasing now a days,1,0,0,people scared chain snatching witness bikers entered residential area snatching chain purse wom en incident eve taesing also increasing day
189,Eve teasing is very common in our college itself. Commenting and teasing etc.,1,1,0,eve teasing common college commenting teasing etc
190,I was followed by 5 boys. They were teasing and following me even in the main streets.,1,0,0,followed 5 boy teasing following even main street
